"BRC_NAMES","BRC_NUMBER","AMALG_BRC_NAME","AMALG_BRC_CODE","GROWTH_FORM"
"Carex sylvatica",920421,"Carex sylvatica",920421,"s"
"Carex vaginata",920423,"Carex vaginata",920423,"s"
"Carex vesicaria",920424,"Carex vesicaria",920424,"s"
"Carex viridula",9207117,"Carex viridula",9207117,"s"
"Carex viridula subsp.brachyrrhyncha",920387,"Carex viridula subsp.brachyrrhyncha",920387,"s"
"Carex viridula subsp.oedocarpa",920361,"Carex viridula subsp.oedocarpa",920361,"s"
"Carex viridula subsp.viridula",9207118,"Carex viridula subsp.viridula",9207118,"s"
"Carlina vulgaris",920427,"Carlina vulgaris",920427,"f"
"Carpinus betulus",920428,"Carpinus betulus",920428,"w"
"Carum verticillatum",920431,"Carum verticillatum",920431,"f"
"Castanea sativa",920432,"Castanea sativa",920432,"w"
"Catapodium rigidum",920435,"Catapodium rigidum",920435,"g"
"Centaurea nigra",920444,"Centaurea nigra",920444,"f"
"Centaurium erythraea",9205486,"Centaurium erythraea",9205486,"f"
"Centranthus ruber",920455,"Centranthus ruber",920455,"f"
"Cephalanthera damasonium",920457,"Cephalanthera damasonium",920457,"f"
"Cephalanthera longifolia",920458,"Cephalanthera longifolia",920458,"m"
"Cephalozia bicuspidata",810714,"Cephalozia bicuspidata",810714,"b"
"Cephalozia lunulifolia",810721,"Cephalozia lunulifolia",810721,"b"
"Cephalozia sp.",8101276,"Cephalozia sp.",8101276,"b"
"Cephaloziella divaricata",810732,"Cephaloziella divaricata",810732,"b"
"Cephaloziella sp.",8101277,"Cephaloziella sp.",8101277,"b"
"Cerastium fontanum",920467,"Cerastium fontanum",920467,"f"
"Cerastium glomeratum",920466,"Cerastium glomeratum",920466,"f"
"Cerastium sp.",9204524,"Cerastium sp.",9204524,"f"
"Ceratocapnos claviculata",920555,"Ceratocapnos claviculata",920555,"f"
"Ceratodon purpureus",820151,"Ceratodon purpureus",820151,"b"
"Ceratophyllum demersum",920471,"Ceratophyllum demersum",920471,"f"
"Chaerophyllum temulum",920476,"Chaerophyllum temulum",920476,"f"
"Chamaecyparis lawsoniana",9202398,"Chamaecyparis lawsoniana",9202398,"w"
"Chamaecyparis sp.",200001612,"Chamaecyparis sp.",200001612,"w"
"Chamaemelum nobile",920119,"Chamaemelum nobile",920119,"f"
"Chamerion angustifolium",920477,"Chamerion angustifolium",920477,"f"
"Chelidonium majus",920480,"Chelidonium majus",920480,"f"
"Chenopodium album agg.",920481,"Chenopodium sp.",9204525,"f"
"Chenopodium album/polyspermum",200001582,"Chenopodium sp.",9204525,"f"
"Chenopodium ficifolium",920487,"Chenopodium sp.",9204525,"f"
"Chenopodium polyspermum",920493,"Chenopodium sp.",9204525,"f"
"Chenopodium rubrum",920496,"Chenopodium sp.",9204525,"f"
"Chenopodium sp.",9204525,"Chenopodium sp.",9204525,"f"
"Chiloscyphus polyanthos",810986,"Chiloscyphus polyanthos",810986,"b"
"Chrysosplenium alternifolium",920505,"Chrysosplenium alternifolium",920505,"f"
"Chrysosplenium oppositifolium",920506,"Chrysosplenium oppositifolium",920506,"f"
"Cicuta virosa",920510,"Cicuta virosa",920510,"f"
"Circaea alpina",920511,"Circaea alpina",920511,"f"
"Circaea lutetiana",920513,"Circaea lutetiana",920513,"f"
"Circaea sp.",200001613,"Circaea sp.",200001613,"f"
"Cirriphyllum piliferum",820157,"Cirriphyllum piliferum",820157,"b"
"Cirsium arvense",920515,"Cirsium arvense",920515,"f"
"Cirsium heterophyllum",920518,"Cirsium heterophyllum",920518,"f"
"Cirsium palustre",920520,"Cirsium palustre",920520,"f"
"Cirsium sp.",9204807,"Cirsium sp.",9204807,"f"
"Cirsium vulgare",920522,"Cirsium vulgare",920522,"f"
"Cladonia arbuscula",5502860,"Cladonia sp.",5505962,"l"
"Cladonia chlorophaea",5502870,"Cladonia sp.",5505962,"l"
"Cladonia coccifera",5502873,"Cladonia sp.",5505962,"l"
"Cladonia coniocraea",5502874,"Cladonia sp.",5505962,"l"
"Cladonia furcata",5502888,"Cladonia sp.",5505962,"l"
"Cladonia impexa",5505304,"Cladonia sp.",5505962,"l"
"Cladonia polydactyla",5502909,"Cladonia sp.",5505962,"l"
"Cladonia portentosa",5502910,"Cladonia sp.",5505962,"l"
"Cladonia pyxidata/coccifera",20000106,"Cladonia sp.",5505962,"l"
"Cladonia rangiformis",5502915,"Cladonia sp.",5505962,"l"
"Cladonia sp.",5505962,"Cladonia sp.",5505962,"l"
"Cladonia squamosa",5502919,"Cladonia sp.",5505962,"l"
"Cladonia uncialis",5502931,"Cladonia sp.",5505962,"l"
"Claytonia perfoliata",920525,"Claytonia perfoliata",920525,"f"
"Claytonia sibirica",920524,"Claytonia sibirica",920524,"f"
"Clematis vitalba",920528,"Clematis vitalba",920528,"w"
"Climacium dendroides",820158,"Climacium dendroides",820158,"b"
"Clinopodium vulgare",920530,"Clinopodium vulgare",920530,"f"
"Cochlearia micacea",920534,"Cochlearia micacea",920534,"f"
"Colchicum autumnale",920538,"Colchicum autumnale",920538,"m"
"Conocephalum conicum",810745,"Conocephalum conicum",810745,"b"
"Conopodium majus",920541,"Conopodium majus",920541,"f"
"Convallaria majalis",920543,"Convallaria majalis",920543,"m"
"Convolvulus arvensis",920544,"Convolvulus arvensis",920544,"f"
"Cornus alba",920547,"Cornus alba",920547,"w"
"Cornus sanguinea",920548,"Cornus sanguinea",920548,"w"
"Coronopus didymus",920551,"Coronopus didymus",920551,"f"
"Corydalis sp.",9204831,"Corydalis sp.",9204831,"f"
"Corylus avellana",920557,"Corylus avellana",920557,"w"
"Cotoneaster integrifolius",920562,"Cotoneaster integrifolius",920562,"w"
"Cotoneaster sp.",9204526,"Cotoneaster sp.",9204526,"w"
"Crataegus laevigata",920570,"Crataegus laevigata",920570,"w"
"Crataegus laevigata x monogyna (C. x macrocarpa)",920568,"Crataegus laevigata x monogyna (C. x macrocarpa)",920568,"w"
"Crataegus monogyna",920569,"Crataegus monogyna",920569,"w"
"Crataegus sp.",9204837,"Crataegus sp.",9204837,"w"
"Cratoneuron commutatum",820161,"Cratoneuron commutatum",820161,"b"
"Cratoneuron filicinum",820163,"Cratoneuron filicinum",820163,"b"
"Crepis capillaris",920572,"Crepis capillaris",920572,"f"
"Crepis paludosa",920576,"Crepis paludosa",920576,"f"
"Crepis sp.",9204527,"Crepis sp.",9204527,"f"
"Crepis vesicaria",920578,"Crepis vesicaria",920578,"f"
"Cruciata laevipes",920875,"Cruciata laevipes",920875,"f"
"Cryptogramma crispa",910586,"Cryptogramma crispa",910586,"fe"
"Ctenidium molluscum",820166,"Ctenidium molluscum",820166,"b"
"Cupressus sp.",9204842,"Cupressus sp.",9204842,"w"
"Cymbalaria muralis",920592,"Cymbalaria muralis",920592,"f"
"Cynoglossum germanicum",920595,"Cynoglossum germanicum",920595,"f"
"Cynoglossum officinale",920596,"Cynoglossum officinale",920596,"f"
"Cynosurus cristatus",920597,"Cynosurus cristatus",920597,"g"
"Cytisus scoparius",9201822,"Cytisus scoparius",9201822,"w"
"Dactylis glomerata",920607,"Dactylis glomerata",920607,"g"
"Dactylorhiza fuchsii",920608,"Dactylorhiza sp.",9204528,"m"
"Dactylorhiza maculata",920610,"Dactylorhiza sp.",9204528,"m"
"Dactylorhiza purpurella",920613,"Dactylorhiza sp.",9204528,"m"
"Dactylorhiza sp.",9204528,"Dactylorhiza sp.",9204528,"m"
"Danthonia decumbens",9201915,"Danthonia decumbens",9201915,"g"
"Daphne laureola",920617,"Daphne laureola",920617,"w"
"Daphne mezereum",920618,"Daphne mezereum",920618,"w"
"Deschampsia cespitosa",920627,"Deschampsia cespitosa",920627,"g"
"Deschampsia flexuosa",920628,"Deschampsia flexuosa",920628,"g"
"Dichodontium pellucidum sens.lat.",820180,"Dichodontium pellucidum sens.lat.",820180,"b"
"Dicranella heteromalla",820184,"Dicranella heteromalla",820184,"b"
"Dicranella palustris",820187,"Dicranella palustris",820187,"b"
"Dicranella schreberana",820186,"Dicranella schreberana",820186,"b"
"Dicranella sp",20000868,"Dicranella sp",20000868,"b"
"Dicranella staphylina",820674,"Dicranella staphylina",820674,"b"
"Dicranoweisia cirrata",820193,"Dicranoweisia cirrata",820193,"b"
"Dicranum bonjeanii",820197,"Dicranum bonjeanii",820197,"b"
"Dicranum fuscescens",820201,"Dicranum fuscescens",820201,"b"
"Dicranum majus",820203,"Dicranum majus",820203,"b"
"Dicranum scoparium",820206,"Dicranum scoparium",820206,"b"
"Dicranum sp.",8201132,"Dicranum sp.",8201132,"b"
"Digitalis purpurea",920640,"Digitalis purpurea",920640,"f"
"Diphasiastrum alpinum",9101213,"Diphasiastrum alpinum",9101213,"fe"
"Diplophyllum albicans",810747,"Diplophyllum albicans",810747,"b"
"Dipsacus fullonum",920646.1,"Dipsacus fullonum",920646.1,"f"
"Drepanocladus revolvens",820226,"Drepanocladus revolvens",820226,"b"
"Drepanocladus uncinatus",820228,"Drepanocladus uncinatus",820228,"b"
"Drosera longifolia",920654,"Drosera longifolia",920654,"f"
"Drosera rotundifolia",920657,"Drosera rotundifolia",920657,"f"
"Dryopteris aemula",910660,"Dryopteris aemula",910660,"fe"
"Dryopteris affinis",910662,"Dryopteris affinis/f-mas",200004001,"fe"
"Dryopteris carthusiana",910666,"Dryopteris dilatata/carthusiana",200001583,"fe"
"Dryopteris dilatata",910661,"Dryopteris dilatata/carthusiana",200001583,"fe"
"Dryopteris dilatata/carthusiana",200001583,"Dryopteris dilatata/carthusiana",200001583,"fe"
"Dryopteris expansa",9102274,"Dryopteris expansa",9102274,"fe"
"Dryopteris filix-mas",910665,"Dryopteris affinis/f-mas",200004001,"fe"
"Dryopteris sp.",9104634,"Dryopteris sp.",9104634,"fe"
"Eleocharis palustris",920675,"Eleocharis palustris",920675,"m"
"Eleocharis quinqueflora",920677,"Eleocharis quinqueflora",920677,"m"
"Elodea canadensis",920681,"Elodea canadensis",920681,"aq"
"Elymus caninus",9207006,"Elymus caninus",9207006,"g"
"Elytrigia repens",92033,"Elytrigia repens",92033,"g"
"Empetrum nigrum",920684,"Empetrum nigrum",920684,"w"
"Ephemerum serratum",820239,"Ephemerum serratum",820239,"b"
"Epilobium anagallidifolium",920691,"Epilobium anagallidifolium",920691,"f"
"Epilobium brunnescens",920699,"Epilobium brunnescens",920699,"f"
"Epilobium ciliatum",920688,"Epilobium ciliatum",920688,"f"
"Epilobium hirsutum",920692,"Epilobium hirsutum",920692,"f"
"Epilobium montanum",920695,"Epilobium montanum",920695,"f"
"Epilobium obscurum",920696,"Epilobium tetragon/obscurum",200001439,"f"
"Epilobium palustre",920697,"Epilobium palustre",920697,"f"
"Epilobium parviflorum",920698,"Epilobium parviflorum",920698,"f"
"Epilobium roseum",920700,"Epilobium roseum",920700,"f"
"Epilobium sp.",9204530,"Epilobium sp.",9204530,"f"
"Epilobium tetragon/obscurum",200001439,"Epilobium tetragon/obscurum",200001439,"f"
"Epilobium tetragonum",9207292,"Epilobium tetragon/obscurum",200001439,"f"
"Epipactis atrorubens",920702,"Epipactis atrorubens",920702,"m"
"Epipactis helleborine",920705,"Epipactis helleborine",920705,"m"
"Equisetum arvense",910712,"Equisetum arvense",910712,"fe"
"Equisetum fluviatile",910713,"Equisetum fluviatile",910713,"fe"
"Equisetum palustre",910717,"Equisetum palustre",910717,"fe"
"Equisetum sp.",9104635,"Equisetum sp.",9104635,"fe"
"Equisetum sylvaticum",910720,"Equisetum sylvaticum",910720,"fe"
"Equisetum telmateia",910721,"Equisetum telmateia",910721,"fe"
"Equisetum x littorale",910715,"Equisetum x littorale",910715,"fe"
"Erica cinerea",920726,"Erica cinerea",920726,"w"
"Erica tetralix",920731,"Erica tetralix",920731,"w"
"Eriophorum angustifolium",920740,"Eriophorum angustifolium",920740,"m"
"Eriophorum vaginatum",920744,"Eriophorum vaginatum",920744,"m"
"Euonymus europaeus",920762,"Euonymus europaeus",920762,"w"
"Eupatorium cannabinum",920763,"Eupatorium cannabinum",920763,"f"
"Euphorbia agg.",20000158,"Euphorbia agg.",20000158,"f"
"Euphorbia amygdaloides",920764,"Euphorbia amygdaloides",920764,"f"
"Euphorbia peplus",920777,"Euphorbia peplus",920777,"f"
"Euphrasia officinalis agg.",9202243,"Euphrasia officinalis agg.",9202243,"f"
"Eurhynchium praelongum",820249,"Eurhynchium praelongum",820249,"b"
"Eurhynchium pumilum",820529,"Eurhynchium pumilum",820529,"b"
"Eurhynchium striatum",820255,"Eurhynchium striatum",820255,"b"
